Column,Field Name,Description,Example(s),Validation,Validation Error
A,Testing,Your nine-digit spectrum licence number.,10898101,Must be exactly 9 digits long including leading zeroes as necessary.Must not include the licence version number.Must be a granted (paid) and not expired spectrum licence.Must belong to an account in your web profile.,"If the licence number does not contain a leading 0, does not belong to your account, the licence number is not in Granted status, or the licence is expired."
B,Upload reference number,Optional field which could be used to store a reference name for the dataset.,"Monthly upload, March 2023",Optional field.Maximum length 63 characters.,(not applicable)
C,Contact name,Contact name of the person who should be contacted regarding this data.,John Smith,Mandatory.Maximum length 254 characters.,The Contact Name is missing or exceeds the character limit.
D,Business telephone number,Indicates the telephone number of the business issued the licence. May include an extension number.,555-555-5555x123,Mandatory.Minimum length 10 characters.Maximum length 254 characters.,The Business Telephone Number is missing or exceeds the character limit.
E,E-mail address,Indicates the email address for the contact person who uploads the radiocommunication installations information.,john.smith@mail.com,"Mandatory.Maximum length 254 characters.Multiple e-mail addresses can be entered, as long as they are separated with a comma.",The E-mail Address is missing or exceeds the character limit.
F,Station location,"Indicates the Station location name.This field also indicates that the licence number has ""NOCHANGES"" since the last upload or ""NOSTATIONS"" currently deployed.See theFAQ: Spectrum Licence Site Data Uploadfor more information on ""NOCHANGES"" or ""NOSTATIONS"" options",WR0123 - Strandherd Repeater Site,Mandatory.Maximum length 63 characters.,The Station Location is missing or exceeds the character limit.
G,Station type,"Indicates a fixed station (e.g., cell tower) or an earth station.",FX,"Mandatory.Must be from list of values: ""FX"" or ""TC"".","The Station Type is not input as CAPS, is missing or is not an accepted Station Type value."
H,Radio technology,Indicates the mode of operation (provisioning) for the radio apparatus at the site.,LTE,"Mandatory.Must be from list of values: ""GSM"", ""CDMA"", ""HSPA"", ""LTE"", ""5GNR"", ""5GDSS"", ""WIMAX"", ""WI-FI"", ""OTHER""","The Radio Technology value provided does not match with the specified values, is not input as CAPS, or is missing."
I,Cell ID,"Indicates the mobile network cell global identity following the 3GPP notation for the given radio technology:|GSM, CDMA, HSPA (CGI): PLMN-LAC-CID|LTE (ECGI): PLMN-TAC-ECI|5GNR, 5GDSS (NCGI): PLMN-TAC-NCI",302610-1051200-25381093417,"Mandatory when H - Radio Technology field is populated with a mobile phone network technology: |GSM|CDMA|HSPA|LTE|5GNR|5GDSS. Alphanumeric code of 11 to 27 characters. Must be in the following alphanumeric format: 999999-99999999-99999999999 (up to 27 characters).", The Cell ID is missing or not in the expected format or length.
J,Physical Cell ID,Indicates the decimal numbers representing the physical cell identity (PCI) in LTE or 5G systems.,204,"Mandatory when Radio Technology field is populated with a 4G or 5G mobile phone network technology: ""LTE"", ""5GNR"", or ""5GDSS"".A number from 0 to 503 for ""LTE"" or from 0 to 1007 for ""5GNR"" or ""5GDSS"".",The Physical Cell ID is missing or not within the expected range of values.
K,Province/Territory code,Two-character abbreviation of the province or territory.,ON,"Mandatory.Must contain a valid Provincial or Territorial two character code.Should match the coordinates provided. (For transportable, includes ""IP"" for interprovincial and ""CA"" for Canada-wide.)","The Province/Territory is not input as CAPS, is missing or is not an accepted Province/Territory abbreviation."
L,Latitude,"Indicates the Latitude (north) of the station, in decimal degrees of the station.Input should be to at least four decimal places of precision (may provide less if coordinates are exact).",45.3514035,Mandatory.A number in the range 41 to 90 with up to seven decimal places.Must specify a location within the service area vector for this licence. (All latitudes are positive in the northern hemisphere.)WGS84 standard format.,The Latitude is missing or not within the expected range.The site coordinates may not fall within the licensed service area.
M,Longitude,"Indicates the Longitude (west) of the station, in decimal degrees of the station.Input should be to at least four decimal places of precision (may provide less if coordinates are exact).",-75.6533946,Mandatory.A number in the range -141 to -40 with up to seven decimal places.Must specify a location within the service area vector for this licence. (All longitudes are negative in the western hemisphere.)WGS84 standard format.,The Longitude is missing or not within the expected range (use negative to indicate degrees west).The site coordinates may not fall within the licensed service area.
N,Site Type Code,Indicates the broad category of site associated with the installation.,O,"Mandatory.Must be from list of values: ""U"", ""O"", ""I"".U: underground (e.g. mine, subway),O: outdoor (e.g. purpose build tower, rooftop),I: indoor (e.g. stadium, inside of corporate building).","The Site Type Code is not input as CAPS, is missing or is not an accepted Site Type Code value."
O,Structure height,"Indicates the total height above ground level in meters of the structure on which the antennas are mounted.For equipment mounted on a building or its boundaries, indicate the height of the building and the supporting structure.Applies only to outdoor sites that might be shared with other radio installations (ex: towers, rooftops, etc). Does not apply to indoor or underground systems.",15,"Mandatory when Site Type Code is ""O"".Entry must be a number in the range 1 to 600 (metres).",The Structure Height is missing or not within the expected range of values.
P,Site Structure Type Code,Indicates the type of structure in use at the site.,T,"Mandatory.Must be from list of values: ""T"", ""R"", ""P"", ""S"", ""F"", ""M"", ""O"".T: purpose-built tower,R: outside of building, roof-top,P: light, other street electrical or utility pole,S: water tower or farm silo,F: furniture,M: transportable,O: other. Eg: indoor(Note that we do not have radius of operation for transportable, so you report current operating location only.)","The Structure Type Code is not input as CAPS, is missing or is not an accepted Structure Type Code value."
Q,Date of Last Modification,The date that this installation went into service with current technical configuration. This date helps investigate possible sources of technical issues.,2022-02-14,Mandatory.Must be a date in the past and in yyyy-mm-dd format.,The Date of Last Modification is missing or not in the expected format or range.
R,Site Record ID,Indicates the alphanumeric identifier for the site or antenna installation as defined by the licensee. This is a unique record identifier not assigned by ISED.,1234567890,Mandatory. (Note that it is not validated to be unique.),The Site Record ID is missing.
S,Tx Channel Frequency,"Indicates the centre frequency of the occupied bandwidth for the given antenna installation, as well as any installations that are used unidirectionally for transmission or reception only.",1925.3,"MandatoryMust be within an authorized frequency band for this licence.Entry would be ""0"" when the antenna is receive-only and not transmitting.",The Tx Channel Frequency is missing or not within an authorized frequency band for this licence.
T,Rx Channel Frequency,"Indicates the centre frequency of the occupied bandwidth for the given antenna installation, as well as any installations that are used unidirectionally for transmission or reception only.",1875.3,"MandatoryMust be within an authorized frequency band for this licence.Entry would be ""0"" when the antenna is transmit-only and not receiving.",The Rx Channel Frequency is missing or not within an authorized frequency band for this licence.
U,Tx Radio HVIN,"Indicates the Hardware Version Identification Number (HVIN) certified by ISED.If operating a certification-exempt radio, the manufacturer's radio model number or a system configuration name should be provided.",T99W175MC,Mandatory if Tx Frequency > 0.Maximum length 128 characters.,The Tx Radio HVIN is missing or exceeds the character limit.
V,Rx Radio HVIN,"Indicates the Hardware Version Identification Number (HVIN) certified by ISED.If operating a certification-exempt radio, the manufacturer's radio model number or a system configuration name should be provided.",T99W175MC,Mandatory if Rx Frequency > 0.Maximum length 128 characters.,The Rx Radio HVIN is missing or exceeds the character limit.
W,Tx Radio Manufacturer code,Indicates the radio manufacturer specified using the company number from ISED’s Certification and Engineering Bureau (CEB).,109AB,"Mandatory if Station Type is ""FX"" and Tx Frequency > 0.Must be a valid manufacturer company number.",The Tx Radio Manufacturer Code is missing or is not an accepted Manufacturer Code value.
